Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Gene ontology (GO)	Gene ontology IDs
Q24306	DIAP1_DROME	reviewed	Death-associated inhibitor of apoptosis 1 (EC 2.3.2.27) (Apoptosis 1 inhibitor) (E3 ubiquitin-protein ligase th) (Inhibitor of apoptosis 1) (Protein thread) (RING-type E3 ubiquitin transferase Diap1)	Diap1 Iap1 th CG12284	Drosophila melanogaster (Fruit fly)	antennal morphogenesis [GO:0048800]; apoptotic process [GO:0006915]; border follicle cell migration [GO:0007298]; chaeta development [GO:0022416]; inhibition of cysteine-type endopeptidase activity [GO:0097340]; inhibition of cysteine-type endopeptidase activity involved in apoptotic process [GO:1990001]; negative regulation of apoptotic process [GO:0043066]; negative regulation of compound eye retinal cell programmed cell death [GO:0046673]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:2001271]; negative regulation of JNK cascade [GO:0046329]; positive regulation of border follicle cell migration [GO:1903688]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of protein ubiquitination [GO:0031398]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein neddylation [GO:0045116]; protein polyubiquitination [GO:0000209]; regulation of cell cycle [GO:0051726]; sensory organ precursor cell division [GO:0045035]; spermatid nucleus differentiation [GO:0007289]; spermatogenesis [GO:0007283]; Wnt signaling pathway [GO:0016055]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; spindle microtubule [GO:0005876]; caspase binding [GO:0089720]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; NEDD8 ligase activity [GO:0061663]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-specific protease binding [GO:1990381]; zinc ion binding [GO:0008270]; antennal morphogenesis [GO:0048800]; apoptotic process [GO:0006915]; border follicle cell migration [GO:0007298]; chaeta development [GO:0022416]; inhibition of cysteine-type endopeptidase activity [GO:0097340]; inhibition of cysteine-type endopeptidase activity involved in apoptotic process [GO:1990001]; negative regulation of apoptotic process [GO:0043066]; negative regulation of compound eye retinal cell programmed cell death [GO:0046673]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:2001271]; negative regulation of JNK cascade [GO:0046329]; positive regulation of border follicle cell migration [GO:1903688]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of protein ubiquitination [GO:0031398]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein neddylation [GO:0045116]; protein polyubiquitination [GO:0000209]; regulation of cell cycle [GO:0051726]; sensory organ precursor cell division [GO:0045035]; spermatid nucleus differentiation [GO:0007289]; spermatogenesis [GO:0007283]; Wnt signaling pathway [GO:0016055]	GO:0000209; GO:0004842; GO:0004869; GO:0005634; GO:0005737; GO:0005829; GO:0005876; GO:0006915; GO:0007283; GO:0007289; GO:0007298; GO:0008270; GO:0016055; GO:0022416; GO:0031398; GO:0031624; GO:0031625; GO:0043027; GO:0043066; GO:0043154; GO:0044390; GO:0045035; GO:0045116; GO:0046329; GO:0046673; GO:0048471; GO:0048800; GO:0051726; GO:0051865; GO:0061630; GO:0061663; GO:0070936; GO:0089720; GO:0090263; GO:0097340; GO:1903688; GO:1990001; GO:1990381; GO:2001271
Q9TTK0	CDKL2_RABIT	reviewed	Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Serine/threonine-protein kinase KKIAMRE)	CDKL2	Oryctolagus cuniculus (Rabbit)		cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0106310; GO:0106311
Q9VPF0	ATK_DROME	reviewed	Protein artichoke	atk CG5195	Drosophila melanogaster (Fruit fly)	cilium assembly [GO:0060271]; locomotion [GO:0040011]; response to stimulus [GO:0050896]; sensory organ development [GO:0007423]	cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; cilium assembly [GO:0060271]; locomotion [GO:0040011]; response to stimulus [GO:0050896]; sensory organ development [GO:0007423]	GO:0005576; GO:0005737; GO:0007423; GO:0031012; GO:0040011; GO:0050896; GO:0060271
O00370	LORF2_HUMAN	reviewed	LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]		Homo sapiens (Human)	DNA recombination [GO:0006310]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]; reverse transcription involved in RNA-mediated transposition [GO:0032199]; transposition, RNA-mediated [GO:0032197]	metal ion binding [GO:0046872]; RNA-directed DNA polymerase activity [GO:0003964]; type II site-specific deoxyribonuclease activity [GO:0009036]; DNA recombination [GO:0006310]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]; reverse transcription involved in RNA-mediated transposition [GO:0032199]; transposition, RNA-mediated [GO:0032197]	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
Q5YJC2	GSK3B_SPECI	reviewed	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	GSK3B	Spermophilus citellus (European suslik) (Citellus citellus)	cellular response to interleukin-3 [GO:0036016]; circadian rhythm [GO:0007623]; epithelial to mesenchymal transition [GO:0001837]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; glycogen metabolic process [GO:0005977]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; nervous system development [GO:0007399]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of autophagy [GO:0010508]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of protein binding [GO:0032092]; protein phosphorylation [GO:0006468]; regulation of microtubule-based process [GO:0032886]; Wnt signaling pathway [GO:0016055]	cytoplasm [GO:0005737]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein threonine kinase activity [GO:0106311]; tau-protein kinase activity [GO:0050321]; cellular response to interleukin-3 [GO:0036016]; circadian rhythm [GO:0007623]; epithelial to mesenchymal transition [GO:0001837]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; glycogen metabolic process [GO:0005977]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; nervous system development [GO:0007399]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of autophagy [GO:0010508]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of protein binding [GO:0032092]; protein phosphorylation [GO:0006468]; regulation of microtubule-based process [GO:0032886]; Wnt signaling pathway [GO:0016055]	GO:0001837; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005886; GO:0005977; GO:0006468; GO:0007399; GO:0007623; GO:0010508; GO:0016020; GO:0016055; GO:0016301; GO:0018105; GO:0032092; GO:0032886; GO:0036016; GO:0050321; GO:0070885; GO:0097192; GO:0106310; GO:0106311; GO:1901030; GO:1902042
B3EWZ6	MLRP2_ACRMI	reviewed	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2) (Fragment)		Acropora millepora (Staghorn coral) (Heteropora millepora)		extracellular region [GO:0005576]; membrane [GO:0016020]	GO:0005576; GO:0016020
Q5RB30	Z585B_PONAB	reviewed	Zinc finger protein 585B	ZNF585B	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	regulation of transcription, DNA-templated [GO:0006355]	nucleus [GO:0005634]; metal ion binding [GO:0046872]; regulation of transcription, DNA-templated [GO:0006355]	GO:0005634; GO:0006355; GO:0046872
Q99315	YG31B_YEAST	reviewed	Transposon Ty3-G Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-1 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p61 (IN); Integrase p58 (IN)]	TY3B-G YGRWTy3-1 POL YGR109W-B G5984	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]; aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0008270; GO:0015074; GO:0032197
P41437	IAP3_NPVOP	reviewed	E3 ubiquitin-protein ligase IAP-3 (EC 2.3.2.27) (IAP-3) (RING-type E3 ubiquitin transferase IAP-3)	IAP3 IAP ORF35	Orgyia pseudotsugata multicapsid polyhedrosis virus (OpMNPV)	modulation by virus of host protein ubiquitination [GO:0039648]	metal ion binding [GO:0046872]; transferase activity [GO:0016740]; modulation by virus of host protein ubiquitination [GO:0039648]	GO:0016740; GO:0039648; GO:0046872
Q6NT04	TIGD7_HUMAN	reviewed	Tigger transposable element-derived protein 7	TIGD7	Homo sapiens (Human)		nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634
P11369	LORF2_MOUSE	reviewed	LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]	Pol Gm17492	Mus musculus (Mouse)	DNA recombination [GO:0006310]	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA-directed DNA polymerase activity [GO:0003964]; DNA recombination [GO:0006310]	GO:0003964; GO:0004519; GO:0006310; GO:0046872
Q07120	GFI1_RAT	reviewed	Zinc finger protein Gfi-1 (Growth factor independent protein 1)	Gfi1 Gfi-1	Rattus norvegicus (Rat)	cell fate commitment [GO:0045165]; cellular response to lipopolysaccharide [GO:0071222]; hemopoiesis [GO:0030097]; inner ear auditory receptor cell differentiation [GO:0042491]; inner ear morphogenesis [GO:0042472]; mechanosensory behavior [GO:0007638]; negative regulation of calcidiol 1-monooxygenase activity [GO:0010956]; negative regulation of cell fate specification [GO:0009996]; negative regulation of neuron projection development [GO:0010977]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell fate specification [GO:0042660]; positive regulation of interleukin-6-mediated signaling pathway [GO:0070105]; regulation of histone H3-K4 methylation [GO:0051569]; regulation of toll-like receptor signaling pathway [GO:0034121]; regulation of transcription by RNA polymerase II [GO:0006357]	nuclear body [GO:0016604]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; cell fate commitment [GO:0045165]; cellular response to lipopolysaccharide [GO:0071222]; hemopoiesis [GO:0030097]; inner ear auditory receptor cell differentiation [GO:0042491]; inner ear morphogenesis [GO:0042472]; mechanosensory behavior [GO:0007638]; negative regulation of calcidiol 1-monooxygenase activity [GO:0010956]; negative regulation of cell fate specification [GO:0009996]; negative regulation of neuron projection development [GO:0010977]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cell fate specification [GO:0042660]; positive regulation of interleukin-6-mediated signaling pathway [GO:0070105]; regulation of histone H3-K4 methylation [GO:0051569]; regulation of toll-like receptor signaling pathway [GO:0034121]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000122; GO:0000976; GO:0000978; GO:0001227; GO:0003700; GO:0005634; GO:0006357; GO:0007638; GO:0009996; GO:0010956; GO:0010977; GO:0016363; GO:0016604; GO:0017053; GO:0030097; GO:0032088; GO:0034121; GO:0042472; GO:0042491; GO:0042660; GO:0045165; GO:0045892; GO:0046872; GO:0051569; GO:0070105; GO:0071222; GO:1990837
Q9VE09	GATA_DROME	reviewed	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7)	gatA CG6007	Drosophila melanogaster (Fruit fly)	glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; mitochondrial translation [GO:0032543]	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; serine hydrolase activity [GO:0017171]; glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; mitochondrial translation [GO:0032543]	GO:0005524; GO:0005739; GO:0017171; GO:0030956; GO:0032543; GO:0050567; GO:0070681
Q7KVW5	KCNN_DROME	reviewed	Small conductance calcium-activated potassium channel protein (Protein SK) (dSK)	SK CG10706	Drosophila melanogaster (Fruit fly)	ion transport [GO:0006811]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; regulation of membrane potential in photoreceptor cell [GO:0016057]	integral component of membrane [GO:0016021]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; photoreceptor activity [GO:0009881]; small conductance calcium-activated potassium channel activity [GO:0016286]; ion transport [GO:0006811]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; regulation of membrane potential in photoreceptor cell [GO:0016057]	GO:0005516; GO:0005886; GO:0006811; GO:0006813; GO:0009881; GO:0016021; GO:0016057; GO:0016286; GO:0043005; GO:0043025; GO:0071805
B4GR63	EIF3L_DROPE	reviewed	Eukaryotic translation initiation factor 3 subunit L (eIF3l)	GL25016	Drosophila persimilis (Fruit fly)	formation of cytoplasmic translation initiation complex [GO:0001732]	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]	GO:0001732; GO:0003743; GO:0005852; GO:0016282; GO:0033290
P79098	AMPN_BOVIN	reviewed	Aminopeptidase N (AP-N) (bAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (CD antigen CD13)	ANPEP APN	Bos taurus (Bovine)	angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]; regulation of blood pressure [GO:0008217]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; virus receptor activity [GO:0001618]; zinc ion binding [GO:0008270]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]; regulation of blood pressure [GO:0008217]; signal transduction [GO:0007165]	GO:0001525; GO:0001618; GO:0005737; GO:0005886; GO:0006508; GO:0007165; GO:0008217; GO:0008270; GO:0016021; GO:0030154; GO:0042277; GO:0043171; GO:0070006
Q0E908	HIL_DROME	reviewed	Hillarin (D-Hillarin) (D-hil)	Hil CG30147	Drosophila melanogaster (Fruit fly)		cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; metal ion binding [GO:0046872]	GO:0005938; GO:0032154; GO:0046872
Q96WV6	YHU2_SCHPO	reviewed	Uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02	SPBPJ4664.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)		anchored component of external side of plasma membrane [GO:0031362]; external side of cell wall [GO:0010339]; cell adhesion mediator activity [GO:0098631]	GO:0010339; GO:0031362; GO:0098631
Q967D7	TUTL_DROME	reviewed	Protein turtle	tutl CG15427	Drosophila melanogaster (Fruit fly)	adult locomotory behavior [GO:0008344]; axonal defasciculation [GO:0007414]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; dendrite self-avoidance [GO:0070593]; flight behavior [GO:0007629]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; larval behavior [GO:0030537]; mechanosensory behavior [GO:0007638]; R7 cell development [GO:0045467]; regulation of dendrite morphogenesis [GO:0048814]; synaptic target recognition [GO:0008039]	axon [GO:0030424]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; cell-cell adhesion mediator activity [GO:0098632]; adult locomotory behavior [GO:0008344]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; axonal defasciculation [GO:0007414]; dendrite self-avoidance [GO:0070593]; flight behavior [GO:0007629]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; larval behavior [GO:0030537]; mechanosensory behavior [GO:0007638]; R7 cell development [GO:0045467]; regulation of dendrite morphogenesis [GO:0048814]; synaptic target recognition [GO:0008039]	GO:0005886; GO:0005887; GO:0007156; GO:0007411; GO:0007414; GO:0007629; GO:0007638; GO:0008039; GO:0008344; GO:0016199; GO:0030424; GO:0030537; GO:0045467; GO:0048814; GO:0070593; GO:0098632
P53668	LIMK1_MOUSE	reviewed	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1) (KIZ-1)	Limk1 Limk	Mus musculus (Mouse)	actin cytoskeleton organization [GO:0030036]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; positive regulation of actin filament bundle assembly [GO:0032233]; positive regulation of axon extension [GO:0045773]; positive regulation of stress fiber assembly [GO:0051496]; protein phosphorylation [GO:0006468]	axonal growth cone [GO:0044295]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; lamellipodium [GO:0030027]; membrane [GO:0016020]; neuron projection [GO:0043005]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein threonine kinase activity [GO:0106311]; actin cytoskeleton organization [GO:0030036]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; positive regulation of actin filament bundle assembly [GO:0032233]; positive regulation of axon extension [GO:0045773]; positive regulation of stress fiber assembly [GO:0051496]; protein phosphorylation [GO:0006468]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005794; GO:0005829; GO:0005856; GO:0005925; GO:0006468; GO:0016020; GO:0016607; GO:0030027; GO:0030036; GO:0031072; GO:0032233; GO:0043005; GO:0044295; GO:0045773; GO:0046872; GO:0048471; GO:0051444; GO:0051496; GO:0106310; GO:0106311
P81576	CUPA2_CANPG	reviewed	Cuticle protein AM1159 (CPAM1159)		Cancer pagurus (Rock crab)		structural constituent of cuticle [GO:0042302]	GO:0042302
Q9V4A7	PLXB_DROME	reviewed	Plexin-B	PlexB CG17245	Drosophila melanogaster (Fruit fly)	axon guidance [GO:0007411]; dendrite self-avoidance [GO:0070593]; motor neuron axon guidance [GO:0008045]; negative regulation of cell adhesion [GO:0007162]; olfactory bulb axon guidance [GO:0071678]; positive regulation of axonogenesis [GO:0050772]; regulation of cell migration [GO:0030334]; regulation of cell shape [GO:0008360]; regulation of GTPase activity [GO:0043087]; semaphorin-plexin signaling pathway involved in axon guidance [GO:1902287]; sensory neuron axon guidance [GO:0097374]	dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; semaphorin receptor complex [GO:0002116]; semaphorin receptor activity [GO:0017154]; axon guidance [GO:0007411]; dendrite self-avoidance [GO:0070593]; motor neuron axon guidance [GO:0008045]; negative regulation of cell adhesion [GO:0007162]; olfactory bulb axon guidance [GO:0071678]; positive regulation of axonogenesis [GO:0050772]; regulation of cell migration [GO:0030334]; regulation of cell shape [GO:0008360]; regulation of GTPase activity [GO:0043087]; semaphorin-plexin signaling pathway involved in axon guidance [GO:1902287]; sensory neuron axon guidance [GO:0097374]	GO:0002116; GO:0005886; GO:0005887; GO:0007162; GO:0007411; GO:0008045; GO:0008360; GO:0017154; GO:0030334; GO:0030425; GO:0043087; GO:0050772; GO:0070593; GO:0071678; GO:0097374; GO:1902287
Q8NB50	ZFP62_HUMAN	reviewed	Zinc finger protein 62 homolog (Zfp-62)	ZFP62	Homo sapiens (Human)	regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872
Q6NVP7	PABP2_XENTR	reviewed	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)	pabpn1 TGas130l12.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	cellular response to lipopolysaccharide [GO:0071222]; endothelial to hematopoietic transition [GO:0098508]; MAPK cascade [GO:0000165]; mRNA polyadenylation [GO:0006378]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of polynucleotide adenylyltransferase activity [GO:1904247]	cytoplasm [GO:0005737]; nuclear inclusion body [GO:0042405]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; poly(A) binding [GO:0008143]; RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]; cellular response to lipopolysaccharide [GO:0071222]; endothelial to hematopoietic transition [GO:0098508]; MAPK cascade [GO:0000165]; mRNA polyadenylation [GO:0006378]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of polynucleotide adenylyltransferase activity [GO:1904247]	GO:0000165; GO:0003723; GO:0005634; GO:0005737; GO:0006378; GO:0008143; GO:0042405; GO:0045746; GO:0070063; GO:0071222; GO:0098508; GO:1904247; GO:1990904
